ReviewID,RecordKey,SourceSheet,SourceRowNumber,RecordID,AssetName,WorkType,RequestLetterNo,FailureDescriptionRaw,OperationDescriptionRaw,RelatedMachineCode,MachineName,PartName,PartCode,WorkDate,WorkedHours,ProcessStatus,RepairDeliveryOrProductionStartDate,MoldDeliveryToProductionDate,ApprovalFormStatus,ReviewReason,MoldCodeReviewStatus,AssignedMoldCode,ReviewerNote,HistoricalClassification,HistoricalCandidateMoldCodes,ProposedReviewAction
MMCR-1405-0001,1405-فروردین-38,فروردین,39,38,قالب پراید خاردار,قالب تعمیری,,اصلاح کفی قالب,کفتراشی,,7101,bottom plate,2,1405/01/08,6.5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,AMBIGUOUS_HISTORICAL_NAME,21355 | ML21355-01S,NEEDS_MOLD_MASTER
MMCR-1405-0012,1405-فروردین-240,فروردین,241,240,قالب شیم پژو 405,قالب تعمیری,,خرابی سنبه قالب,سنگ زنی,,7502,mold,,1405/01/24,3.5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0013,1405-فروردین-237,فروردین,238,237,قالب کوبه نک پیلسان,قالب تعمیری,,ساخت سنبه کوبه پیلسان,مته مرغک ، مته 8..5 ، فرز 12 ، 8 ، 6,,7202,Mandrel,,1405/01/25,4,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0014,1405-فروردین-246,فروردین,247,246,قالب خشاب زنی,قطعه تعمیری,,اصلاح جا فنر,تراشکاری,,7301,فلانچ,,1405/01/26,5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NOT_MOLD_REPAIR_WORKTYPE,,SEPARATE_FROM_MOLD_REPAIR
MMCR-1405-0015,1405-فروردین-248,فروردین,249,248,قالب کوبه نک پیلسان,قالب تعمیری,,ساخت سنبه کوبه پیلسان,مته مرغک ، مته 8..5 ، فرز 12 ، 8 ، 6,,7202,Mandrel,,1405/01/26,7.5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0016,1405-فروردین-251,فروردین,252,251,قالب آرایش SAF,قالب تعمیری,894,سنگ زنی بعلت بریدگی,سنگ زنی,,7502,Mandrel,,1405/01/26,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0017,1405-فروردین-252,فروردین,253,252,قالب کوبه نک SAF,قالب تعمیری,894,سنگ زنی بعلت بریدگی,سنگ زنی,,7502,Mandrel,,1405/01/26,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,HISTORICAL_UNIQUE_NAME,1,VERIFY_HISTORY_THEN_ASSIGN
MMCR-1405-0018,1405-فروردین-255,فروردین,256,255,قالب خشاب زنی,قطعه تعمیری,,اصلاح جا فنر,تراشکاری,,7302,فلانچ,,1405/01/26,3.5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NOT_MOLD_REPAIR_WORKTYPE,,SEPARATE_FROM_MOLD_REPAIR
MMCR-1405-0019,1405-فروردین-276,فروردین,277,276,قالب خشاب زنی,قطعه تعمیری,,اصلاح جا فنر,تراشکاری,,7301,فلانچ,,1405/01/27,2.5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NOT_MOLD_REPAIR_WORKTYPE,,SEPARATE_FROM_MOLD_REPAIR
MMCR-1405-0020,1405-فروردین-283,فروردین,284,283,قالب خشاب زنی,قطعه تعمیری,,اصلاح جا فنر,تراشکاری,,7301,فلانچ,,1405/01/29,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NOT_MOLD_REPAIR_WORKTYPE,,SEPARATE_FROM_MOLD_REPAIR
MMCR-1405-0021,1405-فروردین-315,فروردین,316,315,قالب شیم ریو,قالب تعمیری,,سنگ زنی سنبه و ماتریس,باز کردن قالب,,دمونتاژ,mold,,1405/01/29,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0022,1405-فروردین-308,فروردین,309,308,قالب شیم پژو 405,قالب تعمیری,,خرابی سنبه قالب,سنگ زنی,,7502,mold,,1405/01/30,3.5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0023,1405-فروردین-310,فروردین,311,310,قالب شیم ریو,قالب تعمیری,,سنگ زنی سنبه و ماتریس,بستن قالب,,مونتاژ,mold,,1405/01/30,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0024,1405-فروردین-353,فروردین,354,353,قالب شیم ریو,قالب تعمیری,,سنگ زنی سنبه و ماتریس,بستن,,مونتاژ,Mold,,1405/01/31,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0025,1405-فروردین-354,فروردین,355,354,قالب شیم پژو 405,قالب تعمیری,,خرابی سنبه قالب,بستن,,مونتاژ,Mold,,1405/01/31,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0026,1405-فروردین-358,فروردین,359,358,قالب شیم پژو 405,قالب تعمیری,,خرابی سنبه قالب,سنگ زنی,,7502,Mold,,1405/01/31,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0027,1405-فروردین-364,فروردین,365,364,قالب شیم پژو 405,قالب تعمیری,,خرابی سنبه قالب,بستن قالب,,مونتاژ,mold,,1405/01/31,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0028,1405-فروردین-365,فروردین,366,365,قالب شیم ریو,قالب تعمیری,,سنگ زنی سنبه و ماتریس,بستن,,مونتاژ,Mold,,1405/01/31,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0029,1405-اردیبهشت-3,اردیبهشت,4,3,قالب خشاب زنی,قطعه تعمیری,,اصلاح جا فنر,تراشکاری,,7301,فلانچ,,1405/02/01,4.733333333333333,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NOT_MOLD_REPAIR_WORKTYPE,,SEPARATE_FROM_MOLD_REPAIR
MMCR-1405-0030,1405-اردیبهشت-25,اردیبهشت,26,25,قالب خشاب زنی,قطعه تعمیری,,اصلاح جا فنر,تراشکاری,,7301,فلانچ,,1405/02/02,5.5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NOT_MOLD_REPAIR_WORKTYPE,,SEPARATE_FROM_MOLD_REPAIR
MMCR-1405-0031,1405-اردیبهشت-28,اردیبهشت,29,28,قالب شیم پژو 405,قالب تعمیری,,خرابی سنبه قالب,سنگ زنی,,7502,mold,,1405/02/02,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0032,1405-اردیبهشت-36,اردیبهشت,37,36,قالب شیم پژو 405,قالب تعمیری,,خرابی سنبه قالب,بستن قالب,,مونتاژ,Mold,,1405/02/02,4,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0033,1405-اردیبهشت-63,اردیبهشت,64,63,قالب خشاب زنی,قطعه تعمیری,,اصلاح جا فنر,تراشکاری,,7301,فلانچ,,1405/02/03,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NOT_MOLD_REPAIR_WORKTYPE,,SEPARATE_FROM_MOLD_REPAIR
MMCR-1405-0034,1405-اردیبهشت-68,اردیبهشت,69,68,قالب پخت کلاچ پیکان آرژانتینی,قالب تعمیری,,بستن قالب بدون پلاک,بستن قالب,,مونتاژ,mold,,1405/02/03,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,AMBIGUOUS_HISTORICAL_NAME,04S | MC30241-02S,NEEDS_MOLD_MASTER
MMCR-1405-0035,1405-اردیبهشت-72,اردیبهشت,73,72,قالب پخت کلاچ پیکان آرژانتینی,قالب تعمیری,,بستن قالب بدون پلاک,بستن قالب,,مونتاژ,mold,,1405/02/03,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,AMBIGUOUS_HISTORICAL_NAME,04S | MC30241-02S,NEEDS_MOLD_MASTER
MMCR-1405-0036,1405-اردیبهشت-90,اردیبهشت,91,90,قالب شیم پژو 405,قالب تعمیری,,خرابی سنبه قالب,سنگ زنی,,7502,mold,,1405/02/05,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0037,1405-اردیبهشت-106,اردیبهشت,107,106,قالب پخت کلاچ پیکان آرژانتینی,قالب تعمیری,,بستن قالب بدون پلاک,وایر,,7602,جا میل راهنما,,1405/02/05,8,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,AMBIGUOUS_HISTORICAL_NAME,04S | MC30241-02S,NEEDS_MOLD_MASTER
MMCR-1405-0038,1405-اردیبهشت-127,اردیبهشت,128,127,قالب پخت کلاچ پیکان آرژانتینی,قالب تعمیری,,بستن قالب بدون پلاک,بستن قالب,,مونتاژ,mold,,1405/02/06,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,AMBIGUOUS_HISTORICAL_NAME,04S | MC30241-02S,NEEDS_MOLD_MASTER
MMCR-1405-0039,1405-اردیبهشت-129,اردیبهشت,130,129,قالب شیم پژو 405,قالب تعمیری,,خرابی سنبه قالب,باز کردن قالب,,دمونتاژ,mold,,1405/02/06,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0040,1405-اردیبهشت-130,اردیبهشت,131,130,قالب پژو 405 دیسکی,قالب تعمیری,,قالب جدید ساخته شده امینی(عیب یابی),باز کردن قالب,,دمونتاژ,mold,,1405/02/06,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0041,1405-اردیبهشت-136,اردیبهشت,137,136,قالب پخت کلاچ پیکان آرژانتینی,قالب تعمیری,,بستن قالب بدون پلاک,بستن قالب,,مونتاژ,mold,,1405/02/06,2.5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,AMBIGUOUS_HISTORICAL_NAME,04S | MC30241-02S,NEEDS_MOLD_MASTER
MMCR-1405-0042,1405-اردیبهشت-138,اردیبهشت,139,138,قالب پژو 405 دیسکی,قالب تعمیری,,قالب جدید ساخته شده امینی(عیب یابی),باز کردن قالب,,دمونتاژ,mold,,1405/02/06,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0043,1405-اردیبهشت-140,اردیبهشت,141,140,قالب پخت کلاچ پیکان آرژانتینی,قالب تعمیری,,بستن قالب بدون پلاک,سنگ زنی,,7502,Mandrel,4,1405/02/06,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,AMBIGUOUS_HISTORICAL_NAME,04S | MC30241-02S,NEEDS_MOLD_MASTER
MMCR-1405-0044,1405-اردیبهشت-143,اردیبهشت,144,143,قالب شیم پژو 405,قالب تعمیری,,ساخت قالب برش شیم پژو,سنگ زنی,,7502,mold,,1405/02/07,3,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0045,1405-اردیبهشت-167,اردیبهشت,168,167,قالب پخت کلاچ پیکان آرژانتینی,قالب تعمیری,,بستن قالب بدون پلاک,دورتراشی,,7302,پیچ,,1405/02/07,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,AMBIGUOUS_HISTORICAL_NAME,04S | MC30241-02S,NEEDS_MOLD_MASTER
MMCR-1405-0046,1405-اردیبهشت-170,اردیبهشت,171,170,قالب پژو 405 دیسکی,قالب تعمیری,,قالب جدید ساخته شده امینی(عیب یابی),باز کردن قالب,,دمونتاژ,mold,,1405/02/07,5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0047,1405-اردیبهشت-171,اردیبهشت,172,171,قالب پژو 405 دیسکی,قالب تعمیری,,قالب جدید ساخته شده امینی(عیب یابی),سوراخکاری عبوری پیچ,,7401,top plate,3,1405/02/07,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0048,1405-اردیبهشت-172,اردیبهشت,173,172,قالب پخت کلاچ پیکان,قالب تعمیری,682,,بستن قالب,,مونتاژ,mold,,1405/02/07,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,AMBIGUOUS_HISTORICAL_NAME,01S | 03S | 04S | 05S | 06S | 07S | 08S | MC30241-02S | MC30241-05S | MC30241-08S,NEEDS_MOLD_MASTER
MMCR-1405-0049,1405-اردیبهشت-177,اردیبهشت,178,177,قالب عقب F12,قالب تعمیری,,ساخت Matrix جدید,کفتراشی,,7101,matrix,1,1405/02/08,11,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0050,1405-اردیبهشت-188,اردیبهشت,189,188,قالب پژو 405 دیسکی,قالب تعمیری,,قالب جدید ساخته شده امینی(عیب یابی),وایر,,7603,guide rod,5,1405/02/08,4,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0051,1405-اردیبهشت-190,اردیبهشت,191,190,قالب شیم پژو 405,قالب تعمیری,,ساخت قالب برش شیم پژو,سنگ زنی,,7502,mold,,1405/02/08,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0052,1405-اردیبهشت-193,اردیبهشت,194,193,قالب شیم پژو 405,قالب تعمیری,,سنگ زنی,باز کردن قالب,,دمونتاژ,mold,,1405/02/08,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0053,1405-اردیبهشت-203,اردیبهشت,204,203,قالب عقب F12,قالب تعمیری,,ساخت Matrix جدید,کفتراشی,,7101,matrix,1,1405/02/09,9,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0054,1405-اردیبهشت-204,اردیبهشت,205,204,قالب عقب F12,قالب تعمیری,,ساخت Matrix جدید,کفتراشی,,7101,top plate,,1405/02/09,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0055,1405-اردیبهشت-219,اردیبهشت,220,219,قالب پژو 405 دیسکی,قالب تعمیری,,قالب جدید ساخته شده امینی(عیب یابی),وایر,,7603,guide rod,5,1405/02/09,11,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0056,1405-اردیبهشت-222,اردیبهشت,223,222,قالب شیم پژو 405,قالب تعمیری,,سنگ زنی,باز کردن قالب,,دمونتاژ,mold,,1405/02/09,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0057,1405-اردیبهشت-226,اردیبهشت,227,226,قالب شیم ریو,قالب تعمیری,,سنگ زنی سنبه و ماتریس,کفتراشی,,7103,matrix,1,1405/02/09,2.75,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0058,1405-اردیبهشت-235,اردیبهشت,236,235,قالب عقب F12,قالب تعمیری,,ساخت Matrix جدید,کفتراشی,,7101,top plate,,1405/02/10,3.5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0059,1405-اردیبهشت-243,اردیبهشت,244,243,قالب پژو 405 دیسکی,قالب تعمیری,,قالب جدید ساخته شده امینی(عیب یابی),سوراخکاری,,7401,top plate,3,1405/02/10,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0060,1405-اردیبهشت-244,اردیبهشت,245,244,قالب پژو 405 دیسکی,قالب تعمیری,,قالب جدید ساخته شده امینی(عیب یابی),بستن قالب,,مونتاژ,top plate,3,1405/02/10,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0061,1405-اردیبهشت-249,اردیبهشت,250,249,قالب پژو 405 دیسکی,قالب تعمیری,,قالب جدید ساخته شده امینی(عیب یابی),وایر,,7603,guide rod,5,1405/02/10,7,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0062,1405-اردیبهشت-251,اردیبهشت,252,251,قالب شیم پژو 405,قالب تعمیری,,سنگ زنی,باز کردن قالب,,دمونتاژ,mold,,1405/02/10,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0063,1405-اردیبهشت-256,اردیبهشت,257,256,قالب شیم پژو 405,قالب تعمیری,,سنگ زنی,سنگ زنی,,7502,mold,,1405/02/10,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0064,1405-اردیبهشت-264,اردیبهشت,265,264,قالب شیم پژو 405,قالب تعمیری,,سنگ زنی,سنگ زنی,,7502,mold,,1405/02/12,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0065,1405-اردیبهشت-265,اردیبهشت,266,265,قالب عقب F12,قالب تعمیری,,ساخت Matrix جدید,کفتراشی,,7101,top plate,,1405/02/12,4.5,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0066,1405-اردیبهشت-271,اردیبهشت,272,271,قالب پژو 405 دیسکی,قالب تعمیری,,قالب جدید ساخته شده امینی(عیب یابی),باز کردن قالب,,دمونتاژ,mold,1,1405/02/12,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0067,1405-اردیبهشت-278,اردیبهشت,279,278,قالب پژو 405 دیسکی,قالب تعمیری,,قالب جدید ساخته شده امینی(عیب یابی),بستن قالب,,مونتاژ,mold,1,1405/02/12,3,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0068,1405-اردیبهشت-289,اردیبهشت,290,289,قالب پژو 405 دیسکی,قالب تعمیری,,قالب جدید ساخته شده امینی(عیب یابی),وایر,,7603,mold,,1405/02/12,3,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0069,1405-اردیبهشت-291,اردیبهشت,292,291,قالب پژو 405 دیسکی,قالب تعمیری,,قالب جدید ساخته شده امینی(عیب یابی),وایر,,7603,پشت سنبه ای,,1405/02/12,4,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0070,1405-اردیبهشت-305,اردیبهشت,306,305,قالب جلو ریو,قالب تعمیری,,ساخت 4 عدد میل راهنما,تراشکاری,,7301,guide rod,5,1405/02/13,3.3333333333333335,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,AMBIGUOUS_HISTORICAL_NAME,ML23873-02S | ML23873-03S,NEEDS_MOLD_MASTER
MMCR-1405-0071,1405-اردیبهشت-313,اردیبهشت,314,313,قالب شیم ریو,قالب تعمیری,,ساخت سنبه جدید,سنگ زنی,,7502,Mandrel,,1405/02/13,1,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0072,1405-اردیبهشت-315,اردیبهشت,316,315,قالب شیم پژو 405,قالب تعمیری,,سنگ زنی,باز کردن,,دمونتاژ,mold,,1405/02/13,4,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0073,1405-اردیبهشت-316,اردیبهشت,317,316,قالب شیم پژو 405,قالب تعمیری,,سنگ زنی,بستن قالب,,مونتاژ,mold,,1405/02/13,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,NO_HISTORICAL_MATCH,,MANUAL_REVIEW
MMCR-1405-0074,1405-اردیبهشت-317,اردیبهشت,318,317,قالب جلو ریو,قالب تعمیری,,قالب جدید ساخته شده امینی(عیب یابی),بستن قالب,,مونتاژ,top plate,,1405/02/13,3,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,AMBIGUOUS_HISTORICAL_NAME,ML23873-02S | ML23873-03S,NEEDS_MOLD_MASTER
MMCR-1405-0075,1405-اردیبهشت-318,اردیبهشت,319,318,قالب جلو ریو,قالب تعمیری,,قالب جدید ساخته شده امینی(عیب یابی),بستن قالب,,مونتاژ,bottom plate,,1405/02/13,2,,,,,Repair mold record with blank MoldCode; automatic MoldCode assignment prohibited,OPEN,,,AMBIGUOUS_HISTORICAL_NAME,ML23873-02S | ML23873-03S,NEEDS_MOLD_MASTER
